326,BMW,3 Series E90/E91/E92/E93,325d Touring - with particle filter - up to February 2010,47.9,155
327,BMW,3 Series E90/E91/E92/E93,325d Touring - with particle filter - up to February 2010,44.8,165
328,BMW,3 Series E90/E91/E92/E93,335i Touring - up to February 2010,30.4,222
329,BMW,3 Series E90/E91/E92/E93,335i Touring - up to February 2010,30.4,223
330,BMW,3 Series E90/E91/E92/E93,335d Touring - with particle filter - up to February 2010,41.5,178
331,BMW,5 Series E60/E61,520d Saloon - with particle filter,55.4,136
332,BMW,5 Series E60/E61,520d Saloon - with particle filter,50.4,149
333,BMW,5 Series E60/E61,523i Saloon,37.7,177
334,BMW,5 Series E60/E61,523i Saloon,36.7,181
335,BMW,5 Series E60/E61,525i Saloon,37.2,179
336,BMW,5 Series E60/E61,525i Saloon,36.7,182
337,BMW,5 Series E60/E61,525d Saloon - with particle filter,45.6,165
338,BMW,5 Series E60/E61,525d Saloon - with particle filter,43.5,172
339,BMW,5 Series E60/E61,530i Saloon,35.8,186
340,BMW,5 Series E60/E61,530i Saloon,36.7,182
341,BMW,5 Series E60/E61,530d Saloon - with particle filter,44.1,170
342,BMW,5 Series E60/E61,530d Saloon - with particle filter,42.8,176
343,BMW,5 Series E60/E61,535d Saloon - with particle filter,42.2,178
344,BMW,5 Series E60/E61,550i Saloon,25.9,260
345,BMW,5 Series E60/E61,550i Saloon,27.4,246
346,BMW,5 Series E60/E61,M5 Saloon,19.6,344
347,BMW,5 Series E60/E61,520d Touring - with particle filter,53.3,140
348,BMW,5 Series E60/E61,520d Touring - with particle filter,48.7,154
349,BMW,5 Series E60/E61,523i Touring,35.8,186
350,BMW,5 Series E60/E61,523i Touring,35.8,186
351,BMW,5 Series E60/E61,525i Touring,35.8,186
352,BMW,5 Series E60/E61,525i Touring,35.8,186
353,BMW,5 Series E60/E61,525d Touring - with particle filter,44.1,171
354,BMW,5 Series E60/E61,525d Touring - with particle filter,42.8,176
355,BMW,5 Series E60/E61,530i Touring,34.9,191
356,BMW,5 Series E60/E61,530i Touring,35.8,187
357,BMW,5 Series E60/E61,530d Touring - with particle filter,42.8,176
358,BMW,5 Series E60/E61,530d Touring - with particle filter,41.5,180
359,BMW,5 Series E60/E61,535d Touring - with particle filter,40.9,182
360,BMW,5 Series E60/E61,550i Touring,25.2,267
361,BMW,5 Series E60/E61,550i Touring,26.4,254
362,BMW,5 Series E60/E61,M5 Touring,19.3,348
363,BMW,6 Series E63/E64,630i Coupé,35.8,188
364,BMW,6 Series E63/E64,630i Coupé,36.7,184
365,BMW,6 Series E63/E64,635d Coupé - with particle filter,40.9,183
366,BMW,6 Series E63/E64,650i Coupé,24.1,279
367,BMW,6 Series E63/E64,650i Coupé,26.9,249
368,BMW,6 Series E63/E64,M6 Coupé,19.8,342
369,BMW,6 Series E63/E64,630i Convertible,34.0,198
370,BMW,6 Series E63/E64,630i Convertible,34.9,192
371,BMW,6 Series E63/E64,635d Convertible - with particle filter,39.2,190
372,BMW,6 Series E63/E64,650i Convertible,22.4,299
373,BMW,6 Series E63/E64,650i Convertible,25.9,258
